"CacheBoost","CacheBoost"
"CacheBoost Warmer","CacheBoost Warmer"
"General","Algemeen"
"Enable CacheBoost","CacheBoost inschakelen"
"API Key","API-sleutel"
"Site ID","Site-ID"
"Region(s)","Regio('s)"
"Warm Mode","Opwaarmmodus"
"Full Flush — Scheduled Boost","Volledige flush — Geplande Boost"
"Boost ID (full flush)","Boost-ID (volledige flush)"
"Tests & Diagnostic","Tests & Diagnose"
"Warm History","Opwarmgeschiedenis"
"Smart — targeted tag-based warming (recommended)","Smart — gerichte tag-gebaseerde opwarming (aanbevolen)"
"Full Only — always trigger the full scheduled Boost","Alleen volledig — activeert altijd de volledige geplande Boost"
"Test connection","Verbinding testen"
"Test inline warm","Inline opwarming testen"
"Test Boost run","Boost-uitvoering testen"
"Testing…","Testen…"
"Unexpected server response.","Onverwacht serverantwoord."
"Connection successful.","Verbinding geslaagd."
"Connection successful. All required scopes are granted.","Verbinding geslaagd. Alle vereiste scopes zijn toegekend."
"Connected, but missing required scopes: %1. Please regenerate your API key with the correct permissions.","Verbonden, maar vereiste scopes ontbreken: %1. Genereer uw API-sleutel opnieuw met de juiste rechten."
"Error 401 — invalid or expired API key.","Fout 401 — ongeldige of verlopen API-sleutel."
"HTTP error %1","HTTP-fout %1"
"Network error: %1","Netwerkfout: %1"
"API Key or Site ID is not configured.","API-sleutel of site-ID is niet geconfigureerd."
"Unable to retrieve the store base URL.","De basis-URL van de winkel kan niet worden opgehaald."
"Inline warm triggered for: %1","Inline opwarming geactiveerd voor: %1"
"Failed — check var/log/system.log for details.","Mislukt — raadpleeg var/log/system.log voor details."
"No Boost ID configured in the ""Full Flush"" section.","Geen Boost-ID geconfigureerd in de sectie ""Volledige flush""."
"Boost run #%1 triggered successfully.","Boost-uitvoering #%1 succesvol geactiveerd."
"Failed — the run may already be in progress. Check var/log/system.log.","Mislukt — de uitvoering is mogelijk al bezig. Raadpleeg var/log/system.log."
"Unknown action: %1","Onbekende actie: %1"
"Configure the API Key and Site ID to display warm history.","Configureer de API-sleutel en site-ID om de opwarmgeschiedenis weer te geven."
"No warm runs found for this site.","Geen opwarmuitvoeringen gevonden voor deze site."
"Run","Run"
"Status","Status"
"Type","Type"
"Date","Datum"
"URLs","URL's"
"Region","Regio"
"HIT / MISS","HIT / MISS"
"CacheBoost Bearer token (format <code>cb_live_…</code>). Required scopes: <strong>boosts:read</strong>, <strong>boosts:write</strong>, <strong>runs:read</strong>. Generate your key at <a href=""https://app.cache-boost.com/profile"" target=""_blank"">app.cache-boost.com/profile</a>.","CacheBoost Bearer-token (formaat <code>cb_live_…</code>). Vereiste scopes: <strong>boosts:read</strong>, <strong>boosts:write</strong>, <strong>runs:read</strong>. Genereer uw sleutel op <a href=""https://app.cache-boost.com/profile"" target=""_blank"">app.cache-boost.com/profile</a>."
"Numeric identifier of your site in CacheBoost (e.g. 42). Visible under Stores → Sites in the CacheBoost application.","Numerieke identificatie van uw site in CacheBoost (bijv. 42). Zichtbaar onder Stores → Sites in de CacheBoost-applicatie."
"Comma-separated region codes (e.g. fr or fr,eu). Must match the regions configured in your CacheBoost Boost.","Door komma's gescheiden regiocodes (bijv. fr of fr,eu). Moeten overeenkomen met de regio's die in uw CacheBoost-Boost zijn geconfigureerd."
"<strong>Smart</strong>: resolves Magento tags to URLs and triggers a targeted warm (recommended). <strong>Full Only</strong>: always triggers the full scheduled Boost.","<strong>Smart</strong>: lost Magento-tags op naar URL's en activeert een gerichte opwarming (aanbevolen). <strong>Full Only</strong>: activeert altijd de volledige geplande Boost."
"Used on full cache flush events (Flush All Cache, Flush Storage, Reindex). These events provide no URL list: CacheBoost must warm from an existing Boost with a sitemap or CSV. <strong>Prerequisite:</strong> create a ""sitemap"" or ""csv"" Boost in the CacheBoost app, note its ID, and enter it below. The API key must have the <strong>boosts:write</strong> scope. If no Boost ID is set, full flush events are silently skipped (scheduled boosts cover this case).","Wordt gebruikt bij volledige cache-flush-gebeurtenissen (Flush All Cache, Flush Storage, Reindex). Deze gebeurtenissen leveren geen URL-lijst: CacheBoost moet opwarmen vanuit een bestaande Boost met een sitemap of CSV. <strong>Vereiste:</strong> maak een ""sitemap""- of ""csv""-Boost aan in de CacheBoost-applicatie, noteer de ID en voer deze hieronder in. De API-sleutel moet de scope <strong>boosts:write</strong> hebben. Als er geen Boost-ID is ingesteld, worden volledige flush-gebeurtenissen stilzwijgend overgeslagen (geplande boosts dekken dit geval af)."
"Numeric ID of the CacheBoost Boost to trigger (e.g. 7). Leave empty to disable. Must be a <strong>sitemap</strong> or <strong>csv</strong> Boost — not inline. See the README for setup instructions.","Numerieke ID van de te activeren CacheBoost-Boost (bijv. 7). Laat leeg om uit te schakelen. Moet een <strong>sitemap</strong>- of <strong>csv</strong>-Boost zijn — niet inline. Zie de README voor installatie-instructies."
"API Key is not configured.","API-sleutel is niet geconfigureerd."
